Team,Grade,Drop %,CROE,Sep,YAC
SEA,81.75017837390793,3.9% (91.3),5.7% (87.9),3.2 (74.5),5.5 (73.3)
BUF,75.09937376147913,6.3% (37.1),4.2% (76.1),3.5 (97.5),5.8 (89.7)
DET,73.65372705727762,5.6% (56.2),2.9% (63.4),3.2 (77.8),6.1 (97.2)
MIA,70.7407946729962,5.2% (68.1),2.2% (55.1),3.2 (78.9),5.6 (80.9)
NE,69.63690769903917,4.1% (89.0),11.2% (99.7),3.0 (42.6),5.1 (47.2)
PIT,66.86189947498528,4.3% (85.8),-0.7% (23.7),3.1 (58.7),6.4 (99.3)
LV,64.53045001386238,5.1% (71.1),0.9% (40.0),3.3 (84.2),5.3 (62.9)
ATL,59.02139345733697,5.1% (70.8),-1.0% (21.4),3.1 (60.6),5.6 (83.3)
KC,58.433014944811106,6.1% (42.3),-2.6% (10.6),3.3 (90.2),5.8 (90.5)
ARI,57.744177637917055,3.7% (93.4),4.0% (74.8),2.9 (28.1),4.9 (34.7)
DAL,54.928368789964175,5.8% (51.7),5.6% (87.0),3.0 (41.4),5.0 (39.6)
GB,53.840646957877844,5.7% (55.2),6.1% (89.7),2.8 (16.9),5.2 (53.6)
TB,52.47459297169188,5.1% (71.5),-0.6% (25.3),2.9 (30.3),5.6 (82.8)
IND,51.444346847546214,4.6% (82.3),3.3% (67.8),2.8 (15.4),5.0 (40.3)
LA,50.28407292884518,5.5% (60.5),2.6% (59.8),nan (nan),4.9 (30.6)
NO,50.06999461192087,5.3% (65.0),3.4% (68.3),3.1 (62.5),4.3 (4.5)
DEN,49.299302435289256,6.2% (40.1),-1.0% (21.2),3.2 (74.5),5.3 (61.4)
LAC,47.9858923267584,4.7% (79.2),4.4% (78.4),2.8 (12.6),4.7 (21.9)
BAL,46.01976100478775,7.7% (9.9),1.7% (50.0),3.4 (92.9),4.9 (31.3)
CHI,45.80260562848289,8.1% (5.4),-6.0% (1.2),3.5 (98.7),5.5 (77.9)
SF,44.91314751095628,5.6% (56.8),5.7% (87.8),2.8 (19.3),4.6 (15.8)
CIN,44.19148883168165,4.7% (79.9),2.8% (62.2),2.8 (16.3),4.7 (18.4)
MIN,40.72759461042107,7.3% (16.2),-0.9% (22.3),3.2 (75.0),5.1 (49.5)
NYG,39.9015104388817,6.5% (33.2),-1.8% (15.4),2.9 (37.2),5.5 (73.9)
HOU,39.64146451734207,4.5% (83.7),1.3% (44.7),2.8 (21.1),4.5 (9.1)
PHI,38.77354166328312,5.6% (56.7),4.6% (79.5),2.8 (14.1),4.3 (4.8)
WAS,37.81146235838443,6.8% (24.8),2.5% (59.4),2.9 (29.8),5.0 (37.3)
CAR,34.72599133942021,6.2% (40.7),1.9% (51.7),2.7 (6.8),5.0 (39.7)
TEN,31.694813102532006,7.2% (17.7),-1.8% (15.4),3.1 (69.6),4.8 (24.0)
CLE,29.204461953010124,6.4% (36.2),-1.9% (14.5),2.6 (4.4),5.3 (61.8)
NYJ,19.360765570420217,8.7% (2.3),-2.2% (12.4),3.0 (54.4),4.4 (8.3)
JAX,18.248040049998345,10.0% (0.2),-1.2% (19.9),2.9 (29.8),4.8 (23.2)
