Team,Grade,Motion %,Easy Button %
MIA,87.0,70.6% (98.1),24.9% (76.0)
BUF,76.1,61.5% (80.2),24.5% (72.1)
CHI,75.2,58.7% (68.2),25.6% (82.1)
NYJ,69.5,62.9% (85.0),22.9% (53.9)
GB,68.5,55.0% (49.1),26.4% (87.8)
PIT,67.8,55.0% (49.1),26.2% (86.5)
TB,65.3,62.2% (82.7),22.4% (47.9)
IND,64.1,53.0% (38.6),26.7% (89.5)
WAS,63.5,54.5% (46.5),25.4% (80.5)
DAL,62.8,59.2% (70.5),23.0% (55.1)
DET,62.4,59.8% (73.3),22.7% (51.5)
LA,61.4,63.5% (86.8),21.4% (36.0)
ATL,57.4,66.8% (94.0),19.9% (20.8)
KC,57.1,49.8% (23.7),26.9% (90.6)
DEN,56.3,49.8% (23.7),26.6% (89.0)
SF,48.8,67.4% (94.9),16.2% (2.6)
TEN,48.5,44.7% (8.1),26.6% (89.0)
NO,48.4,61.7% (80.9),19.3% (16.0)
JAX,47.7,59.5% (71.9),20.2% (23.5)
NYG,46.7,38.6% (1.3),27.2% (92.0)
LV,46.3,52.3% (35.1),23.2% (57.5)
MIN,46.2,52.0% (33.6),23.3% (58.7)
CIN,41.7,53.1% (39.1),22.1% (44.3)
CAR,41.5,43.6% (6.1),25.0% (77.0)
SEA,36.5,57.9% (64.3),18.1% (8.7)
ARI,29.1,43.9% (6.6),22.7% (51.5)
BAL,28.6,53.9% (43.3),19.0% (13.8)
HOU,28.3,55.3% (50.7),17.4% (5.8)
CLE,25.9,49.5% (22.4),20.8% (29.5)
LAC,25.5,52.3% (35.1),19.3% (16.0)
PHI,17.4,46.1% (11.3),20.2% (23.5)
NE,16.1,51.1% (29.3),16.3% (2.8)
