Passer,Team,Grade,EPA,SR,CPOE,Pressure to Sack Rate,Turnover Worthy Play Rate
J.Love,GB,87.8,0.25 (96.5),49.2% (83.1),3.82 (83.7),2.9% (86.2),3.0% (78.2)
D.Maye,NE,85.2,0.18 (88.2),50.5% (89.8),9.14 (99.5),10.8% (12.6),4.1% (36.9)
B.Purdy,SF,82.9,0.13 (78.8),51.5% (93.5),5.07 (91.3),3.7% (80.7),5.3% (7.1)
M.Stafford,LA,82.2,0.22 (94.0),51.8% (94.4),1.48 (61.1),5.8% (59.9),3.6% (54.5)
S.Darnold,SEA,81.0,0.14 (82.7),51.4% (93.2),4.31 (87.0),9.9% (18.7),4.3% (28.9)
D.Prescott,DAL,79.9,0.17 (86.5),47.8% (72.9),4.45 (87.9),8.1% (35.3),2.9% (80.8)
M.Jones,SF,79.9,0.12 (76.3),51.6% (93.8),2.97 (76.7),1.1% (94.4),4.5% (22.6)
D.Jones,IND,78.9,0.14 (81.5),49.6% (85.5),3.38 (80.3),4.0% (78.3),4.9% (13.9)
J.Goff,DET,77.5,0.17 (88.1),48.4% (77.4),1.58 (62.3),5.7% (61.9),2.0% (95.9)
J.Burrow,CIN,75.5,0.10 (71.8),48.9% (81.2),2.06 (67.6),3.3% (83.5),1.4% (98.7)
J.Allen,BUF,65.7,0.13 (79.5),46.9% (65.6),1.55 (61.9),12.9% (4.0),3.8% (49.8)
P.Mahomes,KC,59.1,0.13 (78.9),47.9% (73.6),-2.90 (15.3),5.8% (60.6),3.7% (51.5)
M.Mariota,WAS,56.2,-0.01 (39.1),47.1% (67.5),3.30 (79.6),11.2% (10.0),4.1% (37.3)
J.Hurts,PHI,54.4,0.04 (55.1),42.7% (27.0),3.09 (77.8),5.3% (66.1),2.7% (85.1)
J.Brissett,ARI,54.1,-0.01 (37.8),44.7% (44.9),3.37 (80.2),5.7% (62.0),2.6% (85.9)
J.Herbert,LAC,53.4,-0.01 (37.1),45.3% (50.2),3.31 (79.7),6.3% (54.3),3.6% (54.4)
T.Lawrence,JAX,48.3,0.05 (58.3),46.3% (59.8),-2.73 (16.5),5.6% (62.7),3.6% (54.5)
B.Nix,DEN,47.9,0.09 (69.2),44.0% (38.2),-2.07 (21.9),3.8% (79.8),3.7% (54.1)
C.Stroud,HOU,45.9,0.03 (51.0),44.3% (40.5),0.77 (52.8),8.4% (31.4),4.5% (23.3)
T.Tagovailoa,MIA,45.1,0.02 (47.6),44.8% (45.8),-0.32 (40.0),2.4% (88.9),5.5% (4.3)
L.Jackson,BAL,43.8,0.02 (47.9),45.6% (53.0),-2.23 (20.6),6.6% (51.3),3.3% (68.7)
T.Shough,NO,40.6,-0.03 (33.1),43.8% (36.5),0.65 (51.4),8.5% (30.3),3.1% (74.1)
C.Williams,CHI,40.4,0.08 (67.0),43.6% (34.4),-6.87 (1.4),3.5% (82.1),3.9% (43.4)
S.Rattler,NO,39.6,-0.13 (10.3),44.1% (39.2),3.05 (77.4),2.6% (87.9),5.1% (9.2)
K.Cousins,ATL,38.2,-0.02 (34.6),44.1% (39.3),-1.87 (23.7),4.5% (73.6),2.1% (94.1)
M.Penix,ATL,35.8,-0.00 (40.3),45.2% (49.2),-3.20 (13.3),6.2% (55.4),4.8% (15.3)
B.Young,CAR,33.9,-0.05 (25.8),42.5% (25.5),-0.29 (40.4),5.4% (64.2),2.9% (79.1)
B.Mayfield,TB,33.1,-0.01 (39.7),43.2% (30.6),-1.61 (26.1),7.7% (39.2),4.3% (30.9)
A.Rodgers,PIT,28.6,-0.02 (34.8),41.5% (18.2),-1.37 (28.5),18.1% (0.1),3.0% (76.4)
J.Dart,NYG,27.9,-0.02 (35.2),41.6% (18.9),-2.03 (22.2),10.3% (15.7),3.2% (70.6)
J.Flacco,CIN,26.7,-0.11 (13.1),41.0% (15.1),-0.28 (40.5),3.8% (79.3),3.2% (69.2)
G.Smith,LV,26.5,-0.15 (8.3),42.1% (22.7),0.77 (52.9),11.9% (7.3),3.4% (64.4)
J.McCarthy,MIN,9.1,-0.20 (3.6),40.3% (11.6),-5.16 (4.5),6.2% (55.4),5.1% (9.5)
C.Ward,TEN,8.5,-0.19 (4.0),36.8% (2.1),-3.05 (14.3),9.1% (24.8),4.2% (32.9)
S.Sanders,CLE,4.6,-0.30 (0.5),33.6% (0.2),-3.63 (10.7),8.3% (32.5),6.0% (1.7)
