Team,QBS Grade,Pass Pro,Play Call,Pass Catching,Run Game,Def/ST
BUF,78.5,82.6,76.1,75.1,96.5,30.1
PIT,75.7,89.3,67.8,66.9,81.0,63.5
CHI,67.8,81.4,75.2,45.8,74.7,68.5
SEA,63.8,72.2,36.5,81.8,41.0,83.6
LA,62.4,63.5,61.4,50.3,88.9,52.2
DAL,61.0,65.8,62.8,54.9,74.7,20.1
MIA,60.8,41.9,87.0,70.7,52.0,34.9
DEN,59.9,79.0,56.3,49.3,50.0,52.8
WAS,59.5,75.2,63.5,37.8,70.1,47.3
DET,57.7,35.3,62.4,73.7,61.4,66.0
KC,57.2,68.3,57.1,58.4,36.2,47.3
GB,56.6,62.5,68.5,53.8,45.4,23.9
IND,56.1,44.2,64.1,51.4,81.4,47.9
TB,54.4,63.8,65.3,52.5,26.5,50.6
ATL,53.9,49.0,57.4,59.0,53.4,40.5
BAL,50.6,52.1,28.6,46.0,83.7,57.0
SF,50.2,63.2,48.8,44.9,37.0,49.2
CIN,46.8,41.3,41.7,44.2,72.6,39.6
NYG,45.6,50.7,46.7,39.9,48.0,37.2
PHI,44.4,63.1,17.4,38.8,51.3,53.7
NE,44.1,34.4,16.1,69.6,44.7,60.1
HOU,43.3,53.8,28.3,39.6,31.8,96.4
TEN,39.9,45.2,48.5,31.7,29.7,52.8
JAX,39.7,46.0,47.7,18.2,43.5,87.0
MIN,39.3,18.6,46.2,40.7,57.6,73.2
CAR,37.4,33.6,41.5,34.7,44.6,37.7
NO,36.3,27.9,48.4,50.1,9.1,37.5
LV,35.9,19.6,46.3,64.5,2.6,20.2
ARI,35.7,29.6,29.1,57.7,15.3,27.4
LAC,32.5,10.5,25.5,48.0,47.8,54.1
CLE,31.5,38.8,25.9,29.2,22.7,49.1
NYJ,31.2,9.5,69.5,19.4,45.2,37.6
