Team,Grade,SR,EPA,YPCOE
BUF,96.5,48.0% (96.5),0.07 (95.8),1.18 (97.1)
LA,88.9,49.6% (98.7),0.04 (89.6),0.70 (78.5)
BAL,83.7,42.4% (61.2),0.05 (93.1),1.17 (96.9)
IND,81.4,45.1% (84.5),0.07 (95.5),0.51 (64.4)
PIT,81.0,44.2% (78.5),-0.00 (76.1),0.88 (88.4)
CHI,74.7,45.9% (89.2),0.00 (78.1),0.43 (56.9)
DAL,74.7,43.6% (72.8),-0.00 (75.6),0.66 (75.7)
CIN,72.6,45.3% (85.6),0.01 (82.6),0.35 (49.5)
WAS,70.1,42.8% (65.7),-0.04 (58.2),0.83 (86.3)
DET,61.4,40.6% (42.3),-0.05 (51.3),0.93 (90.5)
MIN,57.6,43.8% (74.4),-0.05 (48.3),0.35 (50.2)
ATL,53.4,41.8% (54.8),-0.06 (46.3),0.45 (59.1)
MIA,52.0,40.1% (37.0),-0.03 (63.3),0.42 (55.8)
PHI,51.3,41.8% (54.6),-0.04 (58.2),0.25 (40.9)
DEN,50.0,42.9% (66.0),-0.06 (45.9),0.22 (38.2)
NYG,48.0,40.7% (43.3),-0.03 (63.8),0.21 (37.0)
LAC,47.8,38.9% (25.5),-0.07 (38.1),0.72 (79.9)
GB,45.4,43.8% (75.0),-0.07 (41.3),-0.02 (20.0)
NYJ,45.2,41.7% (53.6),-0.10 (22.9),0.45 (59.2)
NE,44.7,37.6% (15.3),-0.09 (28.6),0.92 (90.1)
CAR,44.6,42.1% (58.2),-0.06 (47.3),0.10 (28.2)
JAX,43.5,41.1% (47.2),-0.05 (53.1),0.13 (30.3)
SEA,41.0,39.4% (30.1),-0.06 (43.8),0.34 (49.2)
SF,37.0,41.7% (54.2),-0.04 (54.7),-0.53 (2.2)
KC,36.2,41.2% (48.9),-0.05 (51.8),-0.27 (7.8)
HOU,31.8,37.2% (13.3),-0.12 (17.7),0.51 (64.5)
TEN,29.7,38.4% (21.4),-0.09 (28.1),0.23 (39.5)
TB,26.5,39.9% (35.0),-0.08 (33.5),-0.19 (11.0)
CLE,22.7,34.9% (4.1),-0.09 (30.2),0.17 (34.0)
ARI,15.3,38.3% (21.0),-0.11 (19.0),-0.33 (5.9)
NO,9.1,36.6% (10.2),-0.15 (7.7),-0.22 (9.4)
LV,2.6,31.3% (0.3),-0.30 (0.1),-0.28 (7.4)
