Passer,Team,Performance Grade,Support Grade
J.Love,GB,87.8,56.6
D.Maye,NE,85.2,44.1
B.Purdy,SF,82.9,50.2
M.Stafford,LA,82.2,62.4
S.Darnold,SEA,81.0,63.8
D.Prescott,DAL,79.9,61.0
M.Jones,SF,79.9,50.2
D.Jones,IND,78.9,56.1
J.Goff,DET,77.5,57.7
J.Burrow,CIN,75.5,46.8
J.Allen,BUF,65.7,78.5
P.Mahomes,KC,59.1,57.2
M.Mariota,WAS,56.2,59.5
J.Hurts,PHI,54.4,44.4
J.Brissett,ARI,54.1,35.7
J.Herbert,LAC,53.4,32.5
T.Lawrence,JAX,48.3,39.7
B.Nix,DEN,47.9,59.9
C.Stroud,HOU,45.9,43.3
T.Tagovailoa,MIA,45.1,60.8
L.Jackson,BAL,43.8,50.6
T.Shough,NO,40.6,36.3
C.Williams,CHI,40.4,67.8
S.Rattler,NO,39.6,36.3
K.Cousins,ATL,38.2,53.9
M.Penix,ATL,35.8,53.9
B.Young,CAR,33.9,37.4
B.Mayfield,TB,33.1,54.4
A.Rodgers,PIT,28.6,75.7
J.Dart,NYG,27.9,45.6
J.Flacco,CIN,26.7,46.8
G.Smith,LV,26.5,35.9
J.McCarthy,MIN,9.1,39.3
C.Ward,TEN,8.5,39.9
S.Sanders,CLE,4.6,31.5
